id,id_artist,num_samples,sr,duration_ms,bpm,centroid_mean,centroid_std,rolloff_mean,rolloff_std,flux_mean,flux_std,rms_mean,rms_std,zcr_mean,zcr_std,flatness_mean,flatness_std,spectral_complexity_mean,spectral_complexity_std,pitch_mean,pitch_std,loudness_mean,loudness_std,silence_start_sec,silence_end_sec,silence_middle_total_sec,silence_middle_count,silence_middle_mean_sec,is_silent
TR646735,ART25707984,6705921,22050,304123.4013605442,86.1328125,2536.753099684927,1059.81497875076,5402.44113224884,2043.7747358754484,1.3604228,1.4406991,0.14836602,0.075271636,0.1172466618830165,0.07520463250232291,0.03988889,0.08836835,2553.6126623957102,642.0957072625614,131.50200410728365,98.74755803503365,-10.694479,10.868393,21.8,15.2,1.07,15,0.07,False
TR344080,ART25707984,4310628,22050,195493.33333333334,95.703125,2715.7030244874054,1031.100618799071,5678.525599391331,2019.32507701601,1.7674924,1.9370724,0.20910023,0.11500319,0.1287241593675772,0.08141446874685104,0.040588576,0.054756522,2604.4233997299043,556.5385653543827,166.80981173481396,108.41232239841882,-11.0296135,9.296009,0.37,2.95,6.73,54,0.12,False
TR935995,ART07024718,5233664,22050,237354.37641723358,89.10290948275862,3086.0990906395173,1099.3767742766122,6462.765540841577,1731.846037069924,1.5685216,1.844916,0.009461221,0.0048917034,0.13498791404798005,0.11703783608432022,0.058443405,0.11892282,2782.3196445574777,558.4564809427195,111.08213227644377,103.46420638365603,-9.923912,8.861055,0.3,2.35,18.65,104,0.18,False
TR842840,ART07024718,3298561,22050,149594.60317460317,129.19921875,2988.626905772824,1073.9281987069526,6698.691068249942,1688.2557942277283,1.7567172,1.5178111,0.30323943,0.07912211,0.11701395288491385,0.08823021058618878,0.041047927,0.064469725,2991.3049981925437,394.4157387359803,144.01453444119258,77.76429765045532,-5.429097,4.550657,0.49,0.01,0.33,4,0.08,False
TR674523,ART07024718,4659783,22050,211328.02721088435,172.265625,2545.834992623667,1050.8592366731198,5500.381363106151,2094.036630078212,1.1882621,1.0505793,0.1352133,0.06671121,0.11612033026738629,0.07546698335653683,0.037218988,0.07470978,2560.130581271382,650.5244046928884,102.04419046172404,77.87638271001356,-9.830226,10.820375,6.11,8.69,9.64,20,0.48,False
TR419042,ART07024718,5373185,22050,243681.85941043083,95.703125,2874.630257618389,984.6273446396912,6024.510122938006,1578.086946640316,1.7243181,2.1146874,0.11161102,0.07639359,0.13332920810505003,0.09825076313047827,0.0389281,0.05188923,2692.067212737172,466.85362710756124,123.09700584203321,81.94578161825265,-12.801346,10.418366,0.93,1.54,33.79,121,0.28,False
TR850160,ART07024718,4171978,22050,189205.3514739229,143.5546875,2306.459263419771,1083.8137945775081,5475.269411531514,2586.3319677570403,1.5934561,1.9922484,0.30198058,0.11894698,0.06564863211743772,0.05303080899242481,0.025225287,0.09724831,2705.3172942917386,821.9366473596458,94.56305884573602,67.2998343709866,-8.010736,13.31901,0.88,4.17,7.57,20,0.38,False
TR340036,ART25707984,5479572,22050,248506.66666666666,86.1328125,2853.173112577334,771.8856202625442,6576.539602834778,1319.0069740456277,1.7710783,1.8702055,0.21758848,0.07059229,0.098500511684808,0.060043720072455634,0.028013049,0.035424247,2959.138193358703,371.1196874526484,125.28907876980743,98.01805242858367,-7.132546,3.0946865,0.14,0.0,0.6,15,0.04,False
TR824115,ART07024718,4014337,22050,182056.09977324263,129.19921875,3408.2778824063,864.6293085132116,7119.159540371724,1345.1693432287966,1.4715297,1.1840832,0.32301643,0.09105381,0.16868849935435531,0.09207847489051234,0.074766405,0.09989308,2951.8747689683805,374.2088398043778,115.18824558149589,83.24133954966878,-5.306395,11.301601,0.81,3.66,0.58,5,0.12,False
TR344030,ART25707984,3933485,22050,178389.3424036281,184.5703125,2845.8210677607667,1262.0880639198142,5919.835725104329,2158.689930526036,2.2657745,2.7155728,0.18245594,0.11570988,0.13582442568007289,0.10978031789083996,0.051332194,0.08758475,2682.816529424102,524.5425763038355,150.30163638023848,85.80632848860476,-11.429448,9.926013,0.44,3.01,8.03,105,0.08,False
