id,id_artist,num_samples,sr,centroid,rolloff,flux,rms,zcr,spectral_bw
TR958743,ART25707984,1323000,22050,"[3909.96536461 4163.18388467 4457.5836039  ... 2946.51484904 2823.82407738
 2936.0278011 ]","[8139.55078125 8408.71582031 8494.84863281 ... 6276.92871094 6201.5625
 6190.79589844]",[0.        0.        0.        ... 0.6985868 0.9773308 1.362725 ],[0.19202186 0.23395042 0.25932297 ... 0.14961985 0.15118864 0.12994394],[0.06005859 0.08935547 0.13232422 ... 0.16845703 0.16357422 0.125     ],"[3355.297104   3455.29658664 3461.01093937 ... 2805.26490935 2781.446142
 2741.10564077]"
TR414333,ART25707984,1323000,22050,"[2723.90280835 2490.8676635  1910.46426631 ... 2049.73143242 2537.88309715
 2417.67247347]","[6061.59667969 5792.43164062 4651.171875   ... 5824.73144531 6729.12597656
 6406.12792969]",[0.        0.        0.        ... 0.3082022 0.7134648 1.0198385],[0.1476137  0.15748496 0.15839487 ... 0.29433942 0.27789053 0.2109315 ],[0.02197266 0.02441406 0.03515625 ... 0.04882812 0.05175781 0.046875  ],"[2841.58719045 2779.21516481 2618.87253417 ... 2822.19208214 3093.10614101
 2977.20011112]"
TR988738,ART25707984,1323000,22050,"[2332.17898723 2565.91495737 2695.649595   ... 2869.19204591 2345.17358894
 1939.98748002]","[5103.36914062 5157.20214844 5792.43164062 ... 6115.4296875  5770.8984375
 4931.10351562]",[0.         0.         0.         ... 0.7686859  0.5710252  0.37105066],[0.2028874  0.2558514  0.2951961  ... 0.29516017 0.29891306 0.2795309 ],[0.03271484 0.06689453 0.10644531 ... 0.07226562 0.05664062 0.0234375 ],"[2565.51918989 2630.10910495 2687.83643902 ... 2928.09151193 2833.1794493
 2654.74544455]"
TR234738,ART25707984,1323000,22050,"[3964.57026894 4043.74675436 4023.89764915 ... 4141.79213582 3233.28247676
 2843.64730867]","[8591.74804688 8645.58105469 8527.1484375  ... 8656.34765625 7482.78808594
 6115.4296875 ]",[0.         0.         0.         ... 4.3315263  1.4999851  0.30843392],[0.04961249 0.05093013 0.05203642 ... 0.04492662 0.03957037 0.03421002],[0.06835938 0.10742188 0.11621094 ... 0.15673828 0.13769531 0.08691406],"[3426.8574671  3482.06742358 3445.249108   ... 3479.82302491 3185.50839032
 2860.39599654]"
TR532822,ART25707984,1323000,22050,"[ 341.73390485  947.59860717 1582.57134868 ... 2787.68640306 2615.48232798
 2127.06897155]","[ 322.99804688 1431.95800781 4543.50585938 ... 6395.36132812 6050.83007812
 5114.13574219]",[0.        0.        0.        ... 0.9413426 2.2489982 2.121217 ],[0.2924216  0.34250998 0.40063968 ... 0.26052693 0.23436484 0.1860761 ],[0.00244141 0.00585938 0.01904297 ... 0.09277344 0.09619141 0.07226562],"[ 989.68302974 2113.49628265 2520.81801055 ... 2884.29875832 2766.04409286
 2577.90248402]"
TR975112,ART25707984,1323000,22050,"[2387.80354868 2409.9236221  2354.9588463  ... 3481.97795518 3633.15168287
 3452.97217032]","[5501.73339844 5469.43359375 5534.03320312 ... 8118.01757812 8839.37988281
 8548.68164062]",[0.         0.         0.         ... 0.6125035  0.90833217 1.769366  ],[0.25554317 0.3043651  0.37971938 ... 0.30550396 0.31333998 0.28783742],[0.04492188 0.06689453 0.08007812 ... 0.12695312 0.12255859 0.08642578],"[2626.43590801 2632.32530928 2677.0949241  ... 3365.82793761 3472.93853795
 3348.93849446]"
TR576460,ART07024718,1323000,22050,"[3171.85527259 3694.86172529 3733.37399589 ... 5311.54548712 5911.19093774
 5349.64056171]","[6998.29101562 7288.98925781 7407.421875   ... 9194.67773438 9431.54296875
 9313.11035156]",[0.        0.        0.        ... 1.4842738 1.7087305 0.5683813],[0.15750316 0.19345853 0.22113265 ... 0.16201565 0.12950437 0.09208645],[0.08154297 0.11914062 0.14550781 ... 0.39794922 0.375      0.27880859],"[2926.07299499 2929.31529768 2970.32680857 ... 3652.69113198 3469.96018496
 3572.93333508]"
TR265400,ART07024718,1323000,22050,"[1459.46377258 1656.28077852 1753.78050784 ... 2550.48815183 1804.63641678
 2574.50684487]","[2659.35058594 3068.48144531 3434.54589844 ... 6513.79394531 5630.93261719
 6352.29492188]",[0.        0.        0.        ... 2.7376478 1.0486468 0.3347063],[0.3033089  0.37110555 0.43197358 ... 0.3659215  0.3544434  0.30336905],[0.02734375 0.04199219 0.05517578 ... 0.05126953 0.04833984 0.02197266],"[2087.94786765 2239.17902885 2286.39579402 ... 2933.02112931 2795.10498241
 3000.94142342]"
TR703446,ART25707984,1323000,22050,"[2751.04561007 2456.22851624 2067.41039323 ... 1705.31658226 1788.39201902
 2109.6129449 ]","[5986.23046875 5447.90039062 4242.04101562 ... 4005.17578125 4597.33886719
 5189.50195312]",[0.         0.         0.         ... 1.3754414  0.98659074 3.409637  ],[0.08898104 0.1459625  0.16819455 ... 0.29530022 0.229476   0.15628439],[0.07324219 0.09179688 0.11621094 ... 0.06347656 0.07617188 0.06152344],"[2755.90227862 2644.6189273  2367.36591896 ... 2220.34798931 2339.36003198
 2480.3093681 ]"
TR253127,ART07024718,1323000,22050,"[2449.66198602 2568.60357553 2702.48822472 ... 2548.28901925 2510.57973911
 2374.53604224]","[7224.38964844 6922.92480469 6567.62695312 ... 5211.03515625 5124.90234375
 4974.16992188]",[0.        0.        0.        ... 1.1870437 2.5926719 2.991563 ],[0.15977184 0.1831027  0.1978417  ... 0.25297835 0.2546985  0.22389348],[0.03808594 0.06347656 0.07128906 ... 0.06445312 0.07617188 0.05712891],"[3269.16242408 2995.76668632 2825.94933625 ... 2514.66310913 2475.74204815
 2470.29722386]"
